fog_index,rainfall_mm,signal_status,congestion_level,time_of_day,train_type,actual_delay_min
0.765,7.25,2,0.9401,18,1,194
0.6347,46.1,2,0.3504,4,0,172
0.5536,25.65,2,0.1955,4,2,155
0.5592,31.18,2,0.4206,13,1,157
0.304,17.87,0,0.3518,5,0,49
0.0308,13.81,1,0.99,23,2,84
0.4367,25.16,2,0.4639,3,2,141
0.2146,14.72,1,0.6793,3,1,97
0.4085,17.18,2,0.9138,18,1,172
0.8534,22.64,1,0.6291,6,0,137
0.2339,25.29,2,0.2494,17,1,127
0.0583,49.22,2,0.6074,16,2,152
0.2814,11.17,1,0.4019,4,1,84
0.2936,24.4,2,0.4223,13,2,134
0.6619,7.48,1,0.9793,12,0,144
0.557,17.5,0,0.2786,2,0,66
0.7839,35.87,1,0.4689,18,0,142
0.6643,8.72,2,0.1599,20,0,143
0.4064,29.07,0,0.1785,22,2,68
0.814,20.84,0,0.6035,2,1,114
0.167,2.58,1,0.751,4,0,79
0.0227,46.65,1,0.6365,19,1,90
0.09,20.68,1,0.3293,7,2,69
0.7224,39.2,1,0.0596,15,2,112
0.4619,20.82,1,0.4703,8,0,98
0.1613,46.87,0,0.5043,5,2,58
0.501,14.52,0,0.7707,14,1,90
0.1523,20.61,2,0.6403,4,2,133
0.6963,37.94,1,0.8713,3,1,149
0.4462,17.18,2,0.783,12,2,153
0.381,18.22,1,0.3659,4,2,95
0.3015,49.74,0,0.6322,4,2,90
0.6303,27.78,1,0.7473,18,0,130
0.3618,34.47,2,0.9569,12,2,172
0.0876,32.17,2,0.4224,13,0,132
0.118,41.4,0,0.6483,3,2,67
0.9619,43.09,2,0.3927,3,1,210
0.9086,28.16,1,0.7378,9,0,147
0.6997,14.73,0,0.912,9,0,119
0.2659,1.14,1,0.9192,10,2,91
0.9692,30.72,0,0.1571,3,1,106
0.7788,41.27,0,0.2041,21,0,94
0.7169,22.53,2,0.7549,8,2,190
0.4494,8.24,2,0.631,19,2,144
0.2722,14.4,1,0.9051,9,0,100
0.0964,25.5,2,0.3138,11,0,113
0.9026,41.83,2,0.848,2,2,210
0.4558,8.59,1,0.6838,16,1,102
0.2024,30.61,0,0.1955,1,0,44
0.306,37.67,1,0.1265,17,1,79
0.5792,46.8,0,0.7027,21,2,113
0.1768,5.84,2,0.1585,8,1,114
0.8566,46.32,1,0.7943,21,2,163
0.7585,30.07,2,0.5571,16,0,185
0.7195,38.34,2,0.4769,0,2,180
0.4321,2.69,1,0.2755,4,1,72
0.6273,25.31,2,0.9838,15,2,189
0.5841,31.13,2,0.7222,16,1,177
0.6498,15.34,2,0.7781,2,2,183
0.0844,21.58,0,0.7687,16,0,62
0.4158,27.71,1,0.584,19,0,102
0.0416,27.63,2,0.9397,2,2,147
0.494,2.09,2,0.5838,21,0,156
0.3299,21.97,1,0.52,12,2,94
0.1445,10.69,0,0.2737,14,0,39
0.1034,45.83,0,0.2817,1,2,54
0.5876,48.83,1,0.7369,14,1,133
0.1706,14.98,1,0.3348,10,1,62
0.9251,8.76,2,0.7287,8,1,195
0.5811,10.98,0,0.9527,18,1,105
0.3469,23.89,1,0.4393,5,1,94
0.5909,43.73,0,0.0973,1,1,81
0.0228,25.0,2,0.6665,11,2,126
0.9586,2.77,0,0.0095,17,2,76
0.4823,1.99,0,0.787,3,1,80
0.7827,11.37,0,0.5257,23,1,95
0.0827,42.14,0,0.4897,16,0,60
0.4867,31.07,1,0.5694,22,2,119
0.4907,28.15,1,0.5164,11,0,111
0.9378,15.95,1,0.3238,2,1,136
0.5717,46.47,2,0.2815,4,2,171
0.4735,16.56,1,0.4153,12,2,98
0.267,41.75,0,0.8949,14,1,92
0.3316,44.8,1,0.1354,17,1,90
0.5207,24.17,2,0.3248,19,0,145
0.4389,44.71,1,0.1923,18,1,105
0.0216,13.84,0,0.4271,14,0,35
0.8263,32.92,2,0.1335,0,2,170
0.8962,4.4,2,0.7608,12,2,193
0.1402,23.7,0,0.1035,19,0,39
0.554,10.87,1,0.6653,20,0,116
0.1086,3.14,1,0.2677,20,1,60
0.6722,0.19,0,0.4722,0,1,81
0.2812,16.24,0,0.2,10,1,39
0.6594,29.48,2,0.7302,14,0,179
0.727,22.76,1,0.9483,5,2,146
0.7686,15.09,2,0.2217,9,0,161
0.1077,49.56,1,0.9532,2,1,118
0.916,46.98,1,0.3253,4,2,136
0.2302,6.28,2,0.5578,0,2,130
0.0374,20.76,0,0.7016,23,1,50
0.5549,32.44,1,0.1993,20,0,92
0.3709,36.67,0,0.4448,9,2,79
0.8298,18.32,0,0.0678,0,0,88
0.8083,37.31,2,0.6971,8,0,197
0.3171,6.21,0,0.4166,10,0,55
0.9529,16.59,1,0.8916,4,2,161
0.2909,35.82,1,0.274,15,1,84
0.5151,31.28,2,0.9236,23,1,186
0.256,41.86,1,0.141,20,2,71
0.936,2.34,2,0.607,20,2,189
0.1646,8.72,2,0.3078,19,2,108
0.0449,2.42,2,0.1818,1,0,93
0.4351,9.61,2,0.0939,13,1,126
0.9924,0.21,0,0.6556,13,1,126
0.8917,25.21,0,0.2332,2,2,97
0.7486,26.42,1,0.5728,3,1,136
0.8908,32.89,1,0.9794,13,0,163
0.8934,19.25,2,0.316,17,2,171
0.5189,0.16,2,0.0349,5,1,126
0.3159,33.69,0,0.1428,11,2,51
0.772,2.71,0,0.1193,1,1,80
0.6617,43.31,0,0.4633,2,1,105
0.3737,1.13,1,0.7447,13,0,99
0.0945,26.52,1,0.2964,13,0,67
0.7468,44.75,0,0.1458,18,0,93
0.2625,28.62,2,0.6408,21,0,151
0.9368,30.42,0,0.3012,4,1,103
0.241,34.08,1,0.5752,8,0,99
0.1228,6.12,2,0.9338,20,0,136
0.8311,33.75,0,0.2913,1,2,104
0.1533,44.02,2,0.5125,19,2,145
0.1793,48.71,2,0.8068,22,0,160
0.5994,22.15,2,0.6917,2,2,170
0.8746,17.23,0,0.7515,3,0,110
0.1964,37.67,1,0.7726,16,0,104
0.3103,27.14,0,0.5399,11,1,72
0.7774,12.87,1,0.5361,23,0,132
0.9718,8.61,2,0.7189,13,0,193
0.5007,8.51,2,0.6976,15,2,154
0.1439,22.96,2,0.6701,5,2,137
0.0139,8.51,1,0.3821,7,0,59
0.2297,0.99,2,0.8285,4,0,147
0.1318,2.6,2,0.2362,3,2,104
0.6777,46.49,2,0.1557,2,2,170
0.1218,3.65,2,0.3452,21,0,95
0.5063,3.66,1,0.2538,1,2,81
0.6943,22.56,0,0.6632,12,0,117
0.5811,12.26,0,0.231,12,1,69
0.1998,48.13,2,0.6565,1,2,155
0.8041,45.55,0,0.5132,20,1,122
0.7154,20.24,0,0.1525,12,1,83
0.739,22.44,2,0.2584,3,2,171
0.1311,18.76,1,0.5217,3,1,84
0.1238,1.89,2,0.7331,16,2,130
0.9276,14.64,0,0.3983,14,2,103
0.3976,6.13,1,0.2328,9,0,79
0.3009,5.12,1,0.2951,9,2,69
0.4886,28.04,1,0.0951,0,2,88
0.6629,4.94,1,0.0251,0,2,82
0.9556,5.15,0,0.9731,12,1,128
0.2864,24.03,2,0.0964,8,1,122
0.9248,22.11,0,0.1249,6,1,94
0.0249,6.88,1,0.871,9,2,87
0.5552,0.22,2,0.6635,14,1,162
0.634,9.65,1,0.4361,7,0,109
0.1059,11.79,0,0.649,8,2,50
0.1403,40.01,0,0.935,6,0,84
0.4191,45.77,1,0.0994,15,1,96
0.9662,20.3,1,0.2437,1,0,128
0.596,20.25,2,0.8603,22,1,173
0.933,35.62,0,0.7806,13,1,140
0.8044,31.35,1,0.9943,5,0,165
0.4674,9.21,0,0.3139,18,2,63
0.7848,5.38,1,0.9449,22,1,131
0.0178,21.88,1,0.3437,1,1,60
0.1091,28.24,0,0.7151,4,0,63
0.8294,6.94,0,0.8827,3,2,117
0.7968,14.66,0,0.1708,1,2,89
0.2326,15.3,1,0.2056,17,1,64
0.5308,13.06,0,0.581,4,1,92
0.606,23.04,0,0.8438,9,1,114
0.8677,32.65,0,0.0789,19,2,92
0.6031,25.47,0,0.8509,14,0,106
0.4126,10.07,0,0.3431,16,2,54
0.3742,5.15,1,0.4062,2,2,82
0.4259,41.09,0,0.3399,23,2,75
0.6519,23.97,0,0.9115,1,2,120
0.8675,3.11,0,0.1308,17,2,84
0.4539,12.91,0,0.5743,15,0,71
0.2478,40.2,0,0.1481,9,0,50
0.2367,37.59,0,0.9286,20,0,87
0.746,43.79,2,0.7979,21,1,204
0.8166,30.1,2,0.2338,1,1,165
0.1053,21.15,0,0.2978,22,0,48
0.0666,21.33,0,0.3815,5,1,40
0.5944,9.7,1,0.4054,18,0,105
0.1462,32.54,2,0.8173,19,1,148
0.8247,29.25,2,0.5645,13,1,198
0.3103,7.74,2,0.4279,20,2,132
0.1439,44.28,0,0.7194,19,2,80
0.921,18.42,1,0.4579,12,1,142
0.1655,2.49,1,0.1282,4,2,59
0.2847,16.39,1,0.1075,10,0,61
0.1536,43.49,2,0.326,21,0,134
0.1155,45.85,0,0.6029,4,2,58
0.0211,24.52,1,0.1348,23,2,53
0.0554,47.82,0,0.5501,4,0,61
0.1746,43.76,0,0.2696,15,0,47
0.0534,41.26,0,0.6954,15,0,60
0.5911,42.99,2,0.0283,4,0,148
0.6807,19.09,1,0.469,11,1,122
0.3936,37.82,2,0.0523,3,0,136
0.318,28.87,2,0.3305,8,2,144
0.5045,35.98,1,0.0156,23,1,87
0.875,8.89,2,0.4691,1,2,169
0.8511,36.57,0,0.767,20,1,134
0.0435,47.88,2,0.1002,16,2,111
0.1815,15.13,0,0.7352,17,0,60
0.2367,49.31,1,0.5842,6,1,101
0.2494,18.92,2,0.5046,22,0,134
0.5712,9.99,2,0.5995,6,2,156
0.4163,5.61,0,0.3359,12,1,66
0.0493,39.25,2,0.7103,0,0,129
0.3736,27.74,0,0.7797,21,2,87
0.5238,15.36,2,0.7782,16,2,175
0.1017,30.42,1,0.2695,3,0,72
0.8335,16.61,0,0.6539,15,2,123
0.052,22.42,2,0.1481,4,2,104
0.9248,43.13,2,0.4954,10,1,192
0.0991,33.41,0,0.0026,12,1,36
0.8436,38.12,0,0.1936,22,2,97
0.9027,29.17,0,0.6317,7,1,123
0.9796,49.57,1,0.8744,0,1,184
0.802,12.07,1,0.049,10,0,97
0.7795,13.11,2,0.5586,22,2,175
0.6425,4.63,2,0.6368,19,2,172
0.779,27.7,0,0.9324,1,0,124
0.1346,30.67,1,0.6551,1,1,89
0.5361,36.3,2,0.103,18,0,144
0.5142,16.77,2,0.1467,17,1,142
0.8576,0.61,0,0.6358,13,0,104
0.4628,31.61,0,0.2156,2,2,72
0.3851,49.93,0,0.9283,6,2,111
0.6396,14.73,1,0.9207,20,2,136
0.2665,9.2,1,0.9487,3,2,114
0.1398,14.09,1,0.293,4,2,63
0.4779,21.27,0,0.7169,10,0,92
0.4169,12.55,1,0.663,17,2,97
0.2326,17.35,0,0.0356,19,2,36
0.3675,31.91,1,0.2656,14,0,90
0.3664,17.25,0,0.2068,11,0,57
0.3275,19.8,2,0.3708,9,2,123
0.3795,2.0,1,0.9531,1,1,105
0.6857,45.9,0,0.8456,6,0,119
0.2969,20.34,2,0.2934,5,1,123
0.9489,16.41,2,0.53,1,2,189
0.9163,4.32,0,0.1923,17,1,83
0.4809,31.71,0,0.2774,8,1,75
0.3284,43.19,0,0.065,12,1,57
0.5354,2.06,1,0.6426,4,0,114
0.8486,7.26,1,0.6569,14,0,135
0.6526,7.32,1,0.8385,3,1,123
0.8044,30.11,1,0.8716,16,0,153
0.5327,46.06,1,0.1601,17,2,100
0.6329,21.89,0,0.743,7,1,100
0.2882,17.19,0,0.1347,5,1,43
0.7349,38.29,2,0.3737,18,1,185
0.2024,37.13,2,0.5155,5,2,136
0.6948,12.34,2,0.0495,4,1,138
0.8607,8.04,2,0.1568,8,0,161
0.1321,17.89,1,0.2711,23,1,67
0.6144,38.78,2,0.1275,11,0,145
0.0951,34.75,2,0.9341,6,1,157
0.7257,33.29,2,0.2883,12,1,159
0.0845,41.47,0,0.5012,8,1,55
0.9359,13.86,0,0.9965,15,1,139
0.1374,16.98,1,0.5666,10,1,80
0.9589,2.12,1,0.4115,14,2,134
0.8009,43.44,2,0.9298,10,2,216
0.5937,29.12,0,0.2225,11,2,82
0.7826,14.91,2,0.1795,10,0,164
0.7951,3.47,2,0.5354,9,1,177
0.946,36.17,2,0.4273,23,0,200
0.2534,37.44,0,0.797,6,1,79
0.5901,33.31,0,0.042,19,2,81
0.095,10.19,0,0.6177,17,1,51
0.6162,45.66,2,0.7107,12,2,185
0.1713,37.66,2,0.9719,7,2,168
0.565,32.89,1,0.1458,11,2,97
0.5724,32.55,0,0.2462,20,2,77
0.466,45.22,1,0.9324,4,2,134
0.5226,46.42,2,0.6306,14,2,176
0.7639,29.78,1,0.038,18,0,108
0.7992,20.83,0,0.0773,15,0,80
0.4922,18.19,1,0.7854,3,1,117
0.5996,40.95,1,0.5675,12,2,123
0.9312,32.23,1,0.5654,4,1,152
0.1197,3.86,2,0.8799,22,0,129
0.1171,7.11,0,0.2411,8,2,32
0.0877,45.01,1,0.1604,10,2,60
0.6579,44.22,2,0.6138,20,1,181
0.4186,47.59,0,0.8824,10,2,106
0.7743,21.39,0,0.2653,4,2,86
0.6712,39.2,0,0.6813,21,2,115
0.3336,41.41,1,0.1524,15,0,86
0.8984,15.78,0,0.1719,14,0,97
0.7625,7.27,2,0.9015,1,1,191
0.2705,49.85,0,0.118,10,2,57
0.3642,1.51,2,0.0243,11,2,118
0.3144,29.87,1,0.7749,6,0,108
0.1576,32.51,2,0.3625,13,2,125
0.1478,34.09,1,0.3967,5,1,85
0.9361,12.78,1,0.7999,11,2,146
0.4379,36.08,0,0.1799,19,2,66
0.3833,10.82,1,0.6503,17,0,99
0.7297,41.45,0,0.3135,6,1,95
0.553,10.96,0,0.1043,4,0,59
0.9361,34.84,2,0.6875,0,1,214
0.7803,39.17,2,0.3187,8,2,170
0.4794,9.45,0,0.8666,0,2,89
0.3764,11.9,1,0.919,3,2,109
0.9866,38.96,0,0.8491,23,1,154
0.7178,4.3,0,0.3224,20,0,78
0.9512,9.54,1,0.2366,13,1,119
0.1185,22.78,2,0.8928,18,1,153
0.8505,46.51,0,0.4529,11,1,117
0.6371,28.09,1,0.7077,14,0,136
0.1219,19.38,2,0.8272,22,2,146
0.5883,48.92,1,0.2777,1,1,120
0.6861,23.19,0,0.1191,8,1,85
0.0123,21.69,1,0.6248,2,0,66
0.4543,20.58,2,0.5902,19,0,153
0.8254,15.61,2,0.2702,19,1,172
0.2954,16.28,1,0.5847,17,1,91
0.4585,34.39,0,0.7904,14,2,95
0.4423,2.04,2,0.35,11,2,136
0.3019,34.09,2,0.2423,0,1,139
0.9184,10.06,1,0.725,18,0,138
0.7813,19.21,2,0.7859,21,0,190
0.1106,7.33,2,0.9543,23,0,140
0.997,27.64,0,0.1476,8,0,102
0.8792,36.47,1,0.8893,4,2,155
0.2839,17.73,1,0.7651,15,0,107
0.8369,8.17,1,0.7019,0,2,136
0.1064,11.33,1,0.3131,1,1,62
0.9991,40.91,2,0.0222,19,1,177
0.6657,13.38,0,0.5076,22,2,87
0.6501,38.74,1,0.2858,9,2,118
0.0904,16.56,0,0.2898,12,0,43
0.897,9.44,1,0.9271,13,2,158
0.029,36.37,1,0.153,3,0,62
0.2408,23.43,0,0.9342,5,1,82
0.143,1.56,2,0.5038,7,1,130
0.7768,48.0,0,0.8383,20,0,129
0.1982,7.39,0,0.2836,10,1,41
0.9106,17.67,1,0.6339,17,1,139
0.6563,19.24,2,0.5566,4,2,171
0.0362,24.47,0,0.9242,22,2,59
0.0054,39.27,1,0.1793,21,1,60
0.0517,0.3,1,0.2046,11,2,52
0.6059,46.62,2,0.949,5,2,192
0.8015,32.3,0,0.098,23,0,84
0.2386,47.53,0,0.6347,19,2,76
0.8494,40.87,1,0.0606,12,2,117
0.0572,46.39,0,0.077,6,0,34
0.801,30.05,2,0.5971,14,2,192
0.9278,17.87,0,0.5514,8,0,117
0.7721,22.15,1,0.573,16,1,129
0.6981,32.9,0,0.4737,19,2,99
0.838,21.35,2,0.7424,11,2,191
0.0402,36.58,1,0.9922,1,2,104
0.2018,4.59,0,0.2758,13,2,33
0.1249,41.5,0,0.3234,20,0,44
0.5045,10.21,0,0.323,5,2,65
0.7452,47.2,0,0.7633,23,1,128
0.63,7.78,2,0.348,8,2,156
0.8511,6.46,1,0.6767,16,1,135
0.1552,40.59,2,0.4459,16,0,135
0.7346,40.94,0,0.6078,4,1,103
0.193,36.94,2,0.829,0,2,154
0.2708,48.03,1,0.5141,22,2,98
0.7099,13.53,1,0.4752,16,1,127
0.9802,41.33,2,0.267,15,0,191
0.6115,17.6,2,0.5159,7,2,163
0.0545,26.87,2,0.2624,2,2,114
0.6163,22.28,2,0.8436,6,2,181
0.0424,0.29,1,0.3889,13,2,57
0.8841,28.72,2,0.1291,16,2,170
0.7096,37.38,2,0.24,7,1,172
0.1731,8.73,2,0.5346,5,2,137
0.0917,46.58,1,0.9163,5,1,106
0.1835,26.52,0,0.3006,23,2,56
0.98,8.91,1,0.2644,15,0,117
0.4586,32.3,0,0.4066,23,0,80
0.7841,9.6,0,0.9678,0,0,121
0.6364,3.18,1,0.8452,10,1,126
0.5724,34.27,1,0.1497,10,2,98
0.1451,5.53,1,0.6138,9,0,75
0.946,5.31,2,0.7919,9,2,189
0.3013,37.0,2,0.768,1,2,160
0.578,2.76,1,0.4888,0,2,92
0.6998,40.49,1,0.7318,18,1,144
0.6492,39.81,2,0.5836,10,0,180
0.9406,7.07,0,0.2014,3,1,85
0.1484,25.92,2,0.0561,8,0,97
0.5084,4.83,2,0.3695,22,0,127
0.404,31.63,2,0.0619,11,2,125
0.4742,3.15,0,0.395,23,1,61
0.1192,47.22,1,0.8289,3,2,114
0.1341,10.39,2,0.8443,2,1,140
0.2781,34.14,0,0.0341,13,1,51
0.3047,6.41,0,0.0695,16,2,35
0.4279,10.48,1,0.6699,23,1,105
0.611,22.55,1,0.5,11,2,114
0.6346,28.65,2,0.1494,4,0,153
0.4118,49.94,1,0.8055,12,1,131
0.4088,1.3,2,0.2165,7,2,120
0.2176,0.02,0,0.0781,4,2,31
0.5883,17.52,1,0.7495,2,2,120
0.317,18.31,0,0.6081,17,0,79
0.0361,44.19,0,0.3944,15,1,51
0.4184,45.63,0,0.6927,3,0,102
0.4741,44.03,2,0.9114,13,2,187
0.2256,7.16,1,0.0342,21,1,45
0.5725,20.61,0,0.6277,19,0,89
0.5658,37.29,0,0.2182,10,2,85
0.702,15.63,1,0.4741,1,2,119
0.6479,33.16,2,0.424,15,0,179
0.6524,11.86,2,0.39,12,0,150
0.3162,16.17,0,0.1904,22,0,55
0.7874,43.02,2,0.8026,13,0,209
0.5491,12.53,1,0.3795,17,1,102
0.4314,48.22,2,0.8872,12,2,177
0.626,15.31,0,0.3547,12,0,78
0.3607,1.18,1,0.8397,7,1,96
0.5127,12.75,2,0.5445,9,1,146
0.7367,8.56,0,0.3856,7,2,93
0.8864,25.34,2,0.704,11,1,201
0.9211,5.64,0,0.7867,22,2,127
0.5036,31.3,2,0.4827,8,2,157
0.5203,43.74,2,0.4254,11,0,172
0.7999,18.13,2,0.5774,22,0,188
0.3145,8.42,2,0.5852,3,0,139
0.8374,20.0,0,0.4255,6,0,100
0.4941,39.3,1,0.7577,11,1,137
0.1159,29.57,2,0.3997,9,0,119
0.0721,5.06,0,0.453,8,1,35
0.842,26.86,0,0.6053,18,0,116
0.0556,23.4,0,0.9868,11,1,76
0.2806,16.36,2,0.2607,8,2,136
0.3341,5.51,0,0.232,11,1,49
0.173,49.06,1,0.1769,21,1,80
0.3139,8.8,1,0.6894,23,1,91
0.7427,9.64,1,0.4491,5,0,116
0.0147,7.28,2,0.3886,0,1,95
0.8272,28.51,2,0.2041,0,2,170
0.8565,22.18,1,0.8911,10,0,156
0.3723,12.48,2,0.4432,15,2,137
0.1536,21.47,0,0.6077,1,0,59
0.6008,33.68,2,0.1125,12,0,141
0.1197,14.09,0,0.108,9,0,23
0.3649,45.76,0,0.0674,22,0,65
0.9584,15.32,0,0.3673,14,0,113
0.9955,9.91,0,0.4729,10,2,112
0.7721,47.73,2,0.2446,14,2,183
0.311,40.53,0,0.3497,3,2,70
0.6877,17.16,2,0.0063,11,0,145
0.7054,42.07,1,0.3511,7,2,121
0.3878,25.94,0,0.1192,4,2,49
0.6409,17.34,1,0.1284,9,0,103
0.0107,41.98,0,0.0045,15,1,24
0.2091,37.61,0,0.6964,13,2,71
0.5251,14.89,1,0.9313,23,0,127
0.1638,30.33,2,0.6215,6,0,145
0.1659,18.47,1,0.0962,16,1,51
0.8363,0.05,0,0.9896,13,1,118
0.9891,48.09,2,0.9756,20,1,226
0.556,27.48,2,0.4682,21,2,168
0.8391,29.92,0,0.1079,16,1,94
0.9903,29.99,2,0.7207,10,2,213
0.1416,27.53,2,0.9615,12,0,150
0.4482,14.5,1,0.7787,15,0,111
0.3926,48.58,0,0.6242,19,0,96
0.08,31.08,1,0.6108,5,0,67
0.7553,33.55,1,0.9779,20,0,156
0.4338,22.74,0,0.0731,19,2,54
0.4693,14.39,0,0.1496,2,0,60
0.1507,3.22,0,0.8308,6,0,63
0.1809,17.51,0,0.1451,5,0,33
0.9071,8.8,2,0.3833,13,0,183
0.0446,33.1,0,0.2815,5,0,41
0.2329,43.95,1,0.2434,7,0,74
0.2921,15.14,1,0.0257,4,1,56
0.4902,16.64,0,0.5663,1,0,82
0.5864,33.52,2,0.4012,11,0,166
0.4933,7.46,2,0.5516,7,2,156
0.0841,46.47,1,0.3045,12,0,81
0.2437,18.19,2,0.9415,5,0,162
0.8436,5.06,0,0.5913,6,0,103
0.6376,8.73,2,0.9612,21,1,190
0.6491,46.64,2,0.35,19,2,173
0.6702,12.36,1,0.0023,6,2,97
0.7629,33.11,2,0.7813,3,2,189
0.0581,7.81,2,0.8274,23,0,135
0.3666,9.71,1,0.0587,16,1,65
0.5395,43.96,0,0.6254,11,1,103
0.3385,7.4,0,0.661,16,2,80
0.8445,0.94,0,0.1457,5,1,82
0.4826,25.06,0,0.5525,10,2,80
0.7686,43.14,2,0.2432,9,2,181
0.852,16.3,0,0.0165,17,2,83
0.5048,6.41,2,0.8669,4,2,165
0.9096,49.11,0,0.4917,11,2,138
0.5871,33.84,1,0.7817,20,2,129
0.8503,42.53,1,0.7229,4,1,155
0.3406,37.61,0,0.9937,2,1,100
0.4988,34.91,0,0.438,19,1,75
0.5314,19.23,0,0.4276,20,2,79
0.105,16.22,0,0.2818,10,0,35
0.3986,35.85,2,0.6251,1,1,160
0.9173,35.84,1,0.4861,12,1,145
0.6308,47.53,2,0.7288,7,1,190
0.1775,28.43,2,0.3565,14,1,125
0.3389,14.73,1,0.1308,3,0,74
0.1916,24.48,2,0.8624,19,2,149
0.0248,30.69,0,0.828,16,0,65
0.9275,21.34,1,0.351,15,0,139
0.4482,39.56,1,0.6904,12,0,128
0.3075,29.23,1,0.4924,5,1,85
0.5985,0.47,2,0.761,22,0,165
0.0073,28.49,2,0.3901,6,2,116
0.278,31.68,1,0.5356,8,2,97
0.703,45.76,0,0.0578,22,1,89
0.6338,20.69,1,0.1749,0,2,97
0.9818,28.72,2,0.7818,3,0,217
0.6204,23.75,2,0.3816,18,0,170
0.4775,26.58,2,0.0351,8,1,126
0.7614,3.37,0,0.1676,13,2,79
0.9033,44.86,0,0.4116,13,1,130
0.7207,45.52,1,0.7179,19,2,148
0.9632,27.4,1,0.3635,14,1,128
0.782,27.83,1,0.7452,10,1,142
0.8668,2.88,2,0.8581,13,2,194
0.1141,29.9,1,0.3411,17,2,64
0.7324,21.46,1,0.8004,9,1,140
0.4401,35.45,2,0.1269,4,2,136
0.5531,2.36,1,0.4153,11,1,86
0.6541,35.54,1,0.0976,23,1,113
0.9698,14.34,0,0.0525,2,0,87
0.9846,32.59,1,0.0645,4,0,120
0.2882,31.36,1,0.1048,23,2,65
0.7338,11.34,0,0.8357,19,0,118
0.75,22.02,0,0.5437,2,1,103
0.3465,41.78,2,0.9474,5,2,170
0.1239,30.28,0,0.538,16,1,56
0.0409,3.44,0,0.6287,18,0,36
0.7773,22.15,0,0.1845,17,2,91
0.4897,15.59,0,0.5406,20,0,72
0.9855,32.08,1,0.3853,12,2,143
0.465,30.73,1,0.9314,21,0,131
0.9779,0.52,1,0.9339,14,1,157
0.4116,30.38,1,0.1985,11,1,87
0.7937,36.74,1,0.6201,15,1,148
0.0848,38.44,2,0.6382,10,1,143
0.5555,2.95,0,0.5625,14,1,69
0.8021,15.18,2,0.1243,20,2,159
0.9247,21.06,0,0.654,22,2,127
0.8226,8.99,2,0.7991,13,1,191
0.037,21.04,1,0.3452,0,2,61
0.3727,3.56,1,0.5146,14,2,88
0.0487,5.66,0,0.1163,6,1,25
0.1093,33.43,1,0.9307,5,1,102
0.6753,13.13,1,0.1095,21,0,92
0.7133,35.57,2,0.2084,10,1,158
